code,location:,registered,envelopes,valid,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
595217,Baliny,102,71,71,8,0,0,6,0,3,8,2,1,0,0,0,8,0,6,12,0,8,0,0,0,1,5,3
595241,Blaûkov,229,162,161,7,0,0,15,0,9,26,2,3,4,1,1,13,0,3,36,0,16,0,0,0,0,25,0
595250,BlÌzkov,272,191,191,5,0,0,14,0,4,19,3,1,3,0,0,21,0,11,42,0,50,0,1,0,0,14,3
595268,Bobrov·,706,430,425,53,1,0,66,0,12,36,4,5,4,0,0,28,0,20,112,1,46,0,4,0,0,31,2
595276,Bobr˘vka,209,151,151,16,0,0,8,0,12,10,0,0,1,0,0,6,0,6,39,0,39,0,2,0,0,11,1
595284,Bohdalec,244,148,147,7,0,0,15,0,8,18,0,0,2,0,0,8,0,4,32,1,36,0,2,0,1,13,0
595292,Bohdalov,913,576,572,55,0,0,53,1,17,46,8,7,16,0,1,44,0,13,177,1,51,0,3,3,0,70,6
595306,BohuÚov,205,134,134,8,0,0,15,0,3,16,0,0,2,0,0,4,0,2,45,0,28,0,1,0,0,8,2
595322,Borovnice,154,83,83,6,0,0,8,0,6,2,0,1,1,0,0,5,0,1,37,0,6,0,1,0,2,7,0
595641,Bory,634,375,374,5,1,0,34,0,16,24,4,6,0,0,0,38,0,17,118,1,65,0,3,1,0,30,11
595349,B¯ezejc,113,68,68,4,0,0,7,0,0,10,1,0,0,0,0,9,0,1,21,0,12,0,0,0,0,3,0
595357,B¯ezÌ,154,108,106,8,0,0,9,0,2,9,1,1,3,0,0,9,0,2,30,0,20,0,0,0,0,8,4
595365,B¯ezÌ nad Oslavou,204,145,143,8,0,0,15,0,9,5,4,0,1,0,0,19,0,11,45,0,15,0,0,1,0,8,2
595381,B¯ezskÈ,157,89,89,8,0,0,11,0,0,14,0,3,2,0,0,8,0,2,13,0,15,0,0,1,0,10,2
595390,BudeË,156,115,114,11,0,0,7,0,6,6,1,2,0,0,0,10,0,10,31,0,25,0,0,0,0,3,2
595403,Bukov,157,101,100,7,0,0,7,0,5,11,1,0,0,0,0,12,0,1,38,0,13,0,0,0,0,5,0
595411,Byst¯ice nad Pernötejnem,6746,3994,3967,289,1,6,572,8,120,372,28,31,49,6,6,329,1,113,1157,10,363,0,28,3,5,430,40
595420,B˝öovec,131,97,97,7,0,0,6,0,1,9,0,2,0,1,0,9,0,2,35,0,11,0,0,0,1,13,0
588016,Cikh·j,86,51,51,1,0,0,5,0,4,16,0,0,2,0,0,5,0,0,10,0,2,0,0,0,0,6,0
595438,»ern·,236,140,140,10,0,0,7,0,7,15,0,2,0,0,0,8,0,4,49,0,18,0,0,0,0,16,4
595454,DaleËÌn,557,341,340,17,1,0,32,1,20,29,1,2,0,0,0,31,0,25,112,0,41,0,2,0,0,24,2
595462,DaÚkovice,149,113,113,15,0,0,8,0,17,10,2,4,0,0,0,12,1,5,26,0,7,0,0,0,0,5,1
595471,DlouhÈ,189,138,138,9,0,0,8,0,4,7,1,1,0,0,0,15,0,7,36,0,42,0,0,0,0,8,0
